#tskit=0.5.3
#tsinfer=0.2.4.dev63+gd36be42
#in_imputed_file=../analysis/pass_4/from_42_into_3.imputed.trees
#in_true_samples_file=../analysis/sisu3/sisu3_merged_nochip_chr20_p_arm.samples
#in_reference_trees_file=../analysis/pass_4/chr20_p_arm.inferred.trees
#remove_leaves=False
#in_chip_file=../data/fimm/chip_positions_chr20.txt
#out_csv_file=../analysis/pass_4/examine_2.imputation.results.csv
#min_maf=0.05
#min_iqs=-inf
#max_iqs=0.9
#flip_alleles=False
#num_sites_data_imputed=136087
#num_sites_sd_true=125155
#num_sites_ts_ref=164061
#num_sites_ts_anc=134669
#num_chip_sites_all=18067
#num_chip_sites=4306
#num_mask_sites=97115
position,ref_minor_allele_index,ref_minor_allele_freq,imputed_minor_allele_index,imputed_minor_allele_freq,iqs,num_muts,is_aa_ref,is_aa_parsimonious
227248.0000000000,1.0000000000,0.3816927753,1.0000000000,0.3883374690,0.7838164880,1.0000000000,1.0000000000,1.0000000000
230234.0000000000,1.0000000000,0.3820434884,1.0000000000,0.3854425145,0.7986757774,1.0000000000,1.0000000000,1.0000000000
231070.0000000000,1.0000000000,0.3846153846,1.0000000000,0.3891645988,0.7923292108,1.0000000000,1.0000000000,1.0000000000
231710.0000000000,1.0000000000,0.4723521160,1.0000000000,0.4545078577,0.8680317448,1.0000000000,0.0000000000,1.0000000000
231898.0000000000,1.0000000000,0.4972527473,1.0000000000,0.4743589744,0.8298866496,1.0000000000,1.0000000000,1.0000000000
231900.0000000000,1.0000000000,0.4931026420,1.0000000000,0.4689826303,0.8308637900,1.0000000000,1.0000000000,1.0000000000
233732.0000000000,1.0000000000,0.4665068974,1.0000000000,0.4627791563,0.8858934393,1.0000000000,0.0000000000,1.0000000000
234441.0000000000,1.0000000000,0.3711129296,1.0000000000,0.3875103391,0.8855802755,1.0000000000,1.0000000000,1.0000000000
236170.0000000000,1.0000000000,0.4661561842,1.0000000000,0.4623655914,0.8870122445,1.0000000000,0.0000000000,1.0000000000
236433.0000000000,0.0000000000,0.4023848492,0.0000000000,0.4234904880,0.8854279704,1.0000000000,0.0000000000,1.0000000000
236640.0000000000,1.0000000000,0.4023848492,1.0000000000,0.4218362283,0.8797746105,1.0000000000,1.0000000000,1.0000000000
252632.0000000000,1.0000000000,0.1167290157,1.0000000000,0.1124896609,0.7655172157,1.0000000000,1.0000000000,1.0000000000
263776.0000000000,0.0000000000,0.4264671499,0.0000000000,0.4346567411,0.8952765432,1.0000000000,1.0000000000,1.0000000000
267423.0000000000,0.0000000000,0.1321603928,0.0000000000,0.1579818031,0.8908455632,1.0000000000,0.0000000000,1.0000000000
285870.0000000000,1.0000000000,0.0616086042,1.0000000000,0.0570719603,0.7942545212,1.0000000000,1.0000000000,1.0000000000
304190.0000000000,1.0000000000,0.4620645312,1.0000000000,0.4371381307,0.8674123423,1.0000000000,0.0000000000,1.0000000000
304257.0000000000,1.0000000000,0.3936170213,1.0000000000,0.3837882548,0.8729255558,1.0000000000,1.0000000000,1.0000000000
305882.0000000000,0.0000000000,0.4710661679,0.0000000000,0.4888337469,0.8708743660,1.0000000000,1.0000000000,1.0000000000
305943.0000000000,1.0000000000,0.1392331073,1.0000000000,0.1311000827,0.8703438908,1.0000000000,0.0000000000,1.0000000000
306602.0000000000,0.0000000000,0.0681552490,0.0000000000,0.0616211745,0.8995810107,1.0000000000,0.0000000000,1.0000000000
306642.0000000000,1.0000000000,0.4876081365,0.0000000000,0.4896608768,0.8742300554,1.0000000000,0.0000000000,1.0000000000
