chrom	pos	recomb_rate	pos_cm
chr20	81154	0.7354	0.0
chr20	82590	0.7692	0.001056
chr20	82603	0.7333	0.001066
chr20	83158	0.735	0.001473
chr20	83509	0.7423	0.001731
chr20	84293	0.7429	0.002313
chr20	84647	0.7468	0.002576
chr20	85729	7.2	0.003384
chr20	88108	7.22	0.020512
chr20	88453	7.22	0.023003
chr20	88767	7.22	0.02527
chr20	90438	7.214	0.037334
chr20	90452	7.191	0.037435
chr20	92251	4.657	0.050372
chr20	93706	3.325	0.057148
chr20	94613	0.8372	0.060164
chr20	96321	0.4912	0.061594
chr20	100014	0.4878	0.063408
chr20	101775	0.4879	0.064267
chr20	102929	0.4884	0.06483
chr20	104475	0.4878	0.065585
chr20	106775	0.4882	0.066707
chr20	110343	1.048	0.068449
chr20	110447	2.324	0.068558
chr20	110586	2.908	0.068881
chr20	110705	4.278	0.069227
chr20	110867	4.98	0.06992
chr20	111066	5.023	0.070911
chr20	111725	2.596	0.074221
chr20	111886	0.8077	0.074639
chr20	112250	0.3916	0.074933
chr20	112799	0.3729	0.075148
chr20	112858	0.3649	0.07517
chr20	113450	0.3393	0.075386
chr20	114452	0.3379	0.075726
chr20	116290	0.3403	0.076347
chr20	116481	0.3456	0.076412
chr20	116753	0.3548	0.076506
chr20	118289	0.3726	0.077051
chr20	119631	0.3176	0.077551
chr20	119864	0.232	0.077625
chr20	120058	0.1161	0.07767
chr20	120721	0.08103	0.077747
chr20	121264	0.06522	0.077791
chr20	121540	0.05178	0.077809
chr20	122158	0.04735	0.077841
chr20	122876	0.0475	0.077875
chr20	126560	0.04767	0.07805
chr20	127546	0.06383	0.078097
chr20	127687	0.08263	0.078106
chr20	128631	0.1238	0.078184
chr20	128736	0.1516	0.078197
chr20	141335	0.1504	0.080107
chr20	141867	0.1522	0.080187
chr20	143661	0.2545	0.08046
chr20	143771	0.8771	0.080488
chr20	144357	0.9512	0.081002
chr20	144480	1.05	0.081119
chr20	144897	10.23	0.081557
chr20	145888	10.65	0.091697
chr20	145959	10.07	0.092453
chr20	145973	8.516	0.092594
chr20	146037	6.89	0.093139
chr20	146119	0.7975	0.093704
chr20	146282	0.738	0.093834
chr20	146553	0.7338	0.094034
chr20	147079	0.7328	0.09442
chr20	147311	0.7332	0.09459
chr20	148072	0.7433	0.095148
chr20	148372	0.72	0.095371
chr20	148422	0.7309	0.095407
chr20	148972	0.4545	0.095809
chr20	148994	0.4629	0.095819
chr20	149223	0.3525	0.095925
chr20	150721	0.3534	0.096453
chr20	150854	0.3519	0.0965
chr20	151016	0.3551	0.096557
chr20	152134	0.5144	0.096954
chr20	152517	0.5229	0.097151
chr20	153259	1.248	0.097539
chr20	153376	5.458	0.097685
chr20	153835	5.19	0.10019
chr20	153898	4.279	0.100517
chr20	154002	4.284	0.100962
chr20	154203	1.069	0.101823
chr20	154290	0.8815	0.101916
chr20	154847	0.4083	0.102407
chr20	155256	0.4141	0.102574
chr20	155384	1.069	0.102627
chr20	155733	0.225	0.103
chr20	155813	0.2105	0.103018
chr20	155927	0.2092	0.103042
chr20	156080	0.2139	0.103074
chr20	156669	0.2153	0.1032
chr20	156813	0.2152	0.103231
chr20	157259	0.2121	0.103327
chr20	157292	0.2113	0.103334
chr20	157363	0.2231	0.103349
chr20	157484	0.2174	0.103376
chr20	157507	0.2212	0.103381
chr20	157819	0.2211	0.10345
chr20	157914	0.2308	0.103471
chr20	157979	0.221	0.103486
chr20	158513	0.2632	0.103604
chr20	158532	0.2203	0.103609
chr20	158768	0.2	0.103661
chr20	158778	0.2432	0.103663
chr20	158815	0.2167	0.103672
chr20	158935	0.2249	0.103698
chr20	159104	0.1875	0.103736
chr20	159200	0.151	0.103754
chr20	159445	0.1412	0.103791
chr20	159530	0.1284	0.103803
chr20	159639	0.12	0.103817
chr20	159864	0.001	0.103844
chr20	159865	0.1217	0.103844
chr20	160054	0.1209	0.103867
chr20	163082	0.09677	0.104233
chr20	163113	0.1707	0.104236
chr20	163277	0.6789	0.104264
chr20	163741	6.521	0.104579
chr20	163910	4.737	0.105681
chr20	163929	2.945	0.105771
chr20	164258	0.2101	0.10674
chr20	164772	0.2114	0.106848
chr20	165212	0.2104	0.106941
chr20	166310	0.2273	0.107172
chr20	166354	0.2246	0.107182
chr20	167044	0.2331	0.107337
chr20	167443	0.2358	0.10743
chr20	168766	0.257	0.107742
chr20	169334	0.2605	0.107888
chr20	170689	0.2948	0.108241
chr20	172626	0.2362	0.108812
chr20	176516	0.3294	0.109731
chr20	177105	0.2928	0.109925
chr20	179892	0.1218	0.110741
chr20	180861	0.1239	0.110859
chr20	181095	0.1257	0.110888
chr20	182042	0.1236	0.111007
chr20	183442	0.1144	0.11118
chr20	183643	0.1184	0.111203
chr20	183795	0.1142	0.111221
chr20	185161	0.1	0.111377
chr20	185191	0.1148	0.11138
chr20	185522	0.12	0.111418
chr20	185547	0.1139	0.111421
chr20	187259	0.125	0.111616
chr20	187379	0.1312	0.111631
chr20	187600	0.1378	0.11166
chr20	187825	0.145	0.111691
chr20	188087	0.1593	0.111729
chr20	189060	0.2041	0.111884
chr20	189354	0.4596	0.111944
chr20	189948	0.4528	0.112217
chr20	190001	0.2674	0.112241
chr20	190173	0.2698	0.112287
chr20	190299	0.2691	0.112321
chr20	190548	0.2686	0.112388
chr20	191181	0.2941	0.112558
chr20	191198	0.2716	0.112563
chr20	192100	0.3793	0.112808
chr20	192158	0.4446	0.11283
chr20	193287	6.472	0.113332
chr20	195977	6.473	0.130743
chr20	196584	0.6303	0.134672
chr20	198215	0.4805	0.1357
chr20	199547	0.4759	0.13634
chr20	200997	0.4742	0.13703
chr20	201326	0.4783	0.137186
chr20	201372	0.4731	0.137208
chr20	202245	0.4702	0.137621
chr20	202581	0.4687	0.137779
chr20	205203	0.4756	0.139008
chr20	205285	0.4823	0.139047
chr20	205764	0.4849	0.139278
chr20	207389	0.4935	0.140066
chr20	207466	0.4834	0.140104
chr20	207677	0.4859	0.140206
chr20	208879	0.4862	0.14079
chr20	211156	2.167	0.141897
chr20	211168	3.865	0.141923
chr20	211428	4.32	0.142928
chr20	212680	4.195	0.148337
chr20	213641	3.318	0.152368
chr20	213886	1.28	0.153181
chr20	214530	0.3732	0.154005
chr20	216521	0.3723	0.154748
chr20	217034	0.3721	0.154939
chr20	217163	0.3695	0.154987
chr20	219501	0.3376	0.155851
chr20	223601	0.3375	0.157235
chr20	225761	0.4537	0.157964
chr20	227262	2.954	0.158645
chr20	227909	3.319	0.160556
chr20	228044	3.307	0.161004
chr20	228763	2.631	0.163382
chr20	229210	2.524	0.164558
chr20	229420	2.445	0.165088
chr20	229665	2.454	0.165687
chr20	229993	2.466	0.166492
chr20	230868	2.463	0.16865
chr20	232782	2.05	0.173365
chr20	232882	1.012	0.17357
chr20	236170	1.643	0.176897
chr20	236433	1.913	0.177329
chr20	236640	2.35	0.177725
chr20	238142	2.096	0.181255
chr20	238370	1.57	0.181733
chr20	239021	0.3917	0.182755
